ID,N_t_bulk
7a5b99f7-ce83-49a8-983e-1aafb8d95c22,1e+21
1d88ad1e-8cb2-40ba-9394-ed3da37fe4d4,2e+21
f2eef75f-af52-4054-b123-05f6b5aaa105,3e+21
06b76a2b-5cdf-447b-9a6b-1c8f6a5104d2,4e+21
a8f7faad-e9d3-4120-9102-efee6ac72ebc,5e+21
9a6c9366-e9f4-44c7-b4c6-548f8c3e8e46,6e+21
63d0865d-9aed-4c7f-80f4-74c139a0aad6,7e+21
9186f6af-482b-4c57-831a-35bc9aebb193,8e+21
5ba4a65a-4d31-4793-af6b-e0d17b21ecec,9e+21
6f723ba7-f371-4dea-8579-d84353294b6e,1e+22
209dc9db-518b-49af-9416-d893cae27b9c,1.1e+22
b6e913d6-a198-44be-9361-91faf1873aad,1.2e+22
c4ae77e1-cfd1-4def-bf4f-4d89c0c86a5e,1.3e+22
1c0e9b5b-1a40-402c-b412-1a74129927a8,1.4e+22
2aba6a00-0549-461f-ae2e-fcf25141ce62,1.5e+22
